sample_id,label,modality,source_name,window_index,window_start_frame,window_end_frame,center_time_s,analysis_fps,roi_x,roi_y,roi_w,roi_h,vision_dx_peak_hz,vision_dy_peak_hz,vision_dx_peak_power,vision_dy_peak_power,vision_dx_band_power,vision_dy_band_power,vision_dx_spectral_centroid_hz,vision_dy_spectral_centroid_hz,vision_dx_spectral_entropy,vision_dy_spectral_entropy,sensor_sample_rate_hz,sensor_window_duration_s,sensor_ax_rms,sensor_ay_rms,sensor_az_rms,sensor_ax_peak_hz,sensor_ay_peak_hz,sensor_az_peak_hz,sensor_ax_peak_power,sensor_ay_peak_power,sensor_az_peak_power
demo_looseness,looseness,fused,demo_looseness.mp4,13,1300,1500,3.5,400.0,120,80,96,64,14.5225,19.6891,0.9362,1.0966,1.44,1.76,15.9748,21.658,0.587,0.5798,400.0,0.5,0.4112,0.447,0.2175,73.5605,79.6687,39.6923,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,14,1400,1600,3.75,400.0,120,80,96,64,19.5034,19.0407,0.9374,1.0057,1.44,1.76,21.4537,20.9447,0.5917,0.6297,400.0,0.5,0.3978,0.4434,0.2197,76.2989,82.151,39.6756,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,15,1500,1700,4.0,400.0,120,80,96,64,19.1176,17.2156,0.804,1.1562,1.44,1.76,21.0294,18.9371,0.5466,0.5829,400.0,0.5,0.4191,0.4356,0.2317,73.1751,79.2626,38.8374,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,16,1600,1800,4.25,400.0,120,80,96,64,18.7151,18.5258,0.9234,1.1471,1.44,1.76,20.5866,20.3783,0.5606,0.5794,400.0,0.5,0.3948,0.4408,0.2202,75.7303,80.4868,40.6567,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,17,1700,1900,4.5,400.0,120,80,96,64,19.6544,20.7014,0.9078,1.0736,1.44,1.76,21.6198,22.7715,0.5697,0.547,400.0,0.5,0.3908,0.4391,0.2234,74.0679,81.251,38.9557,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,18,1800,2000,4.75,400.0,120,80,96,64,19.0014,17.9985,0.8941,1.1594,1.44,1.76,20.9016,19.7983,0.6122,0.5691,400.0,0.5,0.3869,0.4447,0.2225,75.5534,79.7525,39.6556,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,19,1900,2100,5.0,400.0,120,80,96,64,17.1233,18.6231,0.8175,1.176,1.44,1.76,18.8356,20.4854,0.5877,0.5605,400.0,0.5,0.3927,0.4467,0.221,74.2019,79.7655,39.1175,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,20,2000,2200,5.25,400.0,120,80,96,64,19.714,18.9049,1.0,1.0312,1.44,1.76,21.6854,20.7954,0.5854,0.5381,400.0,0.5,0.3986,0.4634,0.2162,74.4188,80.1002,39.9817,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,21,2100,2300,5.5,400.0,120,80,96,64,20.2441,18.1195,0.8761,1.1583,1.44,1.76,22.2686,19.9314,0.5505,0.5543,400.0,0.5,0.3936,0.4566,0.2249,75.0131,80.1931,40.5754,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,22,2200,2400,5.75,400.0,120,80,96,64,20.1732,18.5564,0.9115,1.1015,1.44,1.76,22.1906,20.412,0.5692,0.6044,400.0,0.5,0.3932,0.4529,0.2152,73.9801,79.4325,40.8673,0.16,0.2025,0.0484
demo_looseness,looseness,fused,demo_looseness.mp4,23,2300,2500,6.0,400.0,120,80,96,64,18.7277,19.2994,0.9749,1.1157,1.44,1.76,20.6004,21.2294,0.5809,0.5836,400.0,0.5,0.3908,0.4521,0.2175,75.4245,79.9581,40.4478,0.16,0.2025,0.0484
